SBankCode,BankTypeCode,BankName
,CDSJQRCC,承德市郊区农村信用合作联社
,SLSZRCC,商洛市商州区农村信用合作社联合社
,HBGBDRCB,河北高碑店农村商业银行股份有限公司
,DRCBCL,东莞农村商业银行
,SDZCCHHRCC,山东诸城农村商业银行
,HZWXRCC,湖州吴兴农村商业银行
,FJLYRCC,福建龙岩农村商业银行
,GYNSH,江苏高邮农村商业银行
,NBYZ,宁波鄞州农商行
,JLGELSB,吉林郭尔罗斯农村商业银行股份有限公司
,CLXPGCRCC,昌黎县农村信用合作联社
,HBWARCB,河北文安农村商业银行
,JLDHRCB,吉林德惠农村商业银行股份有限公司
,LHXWCGRCC,隆化县农村信用合作联社
,JSSNRCB,江苏睢宁农村商业银行
,HBXJRCB,河北辛集农村商业银行
,HBFNRCB,河北丰宁农村商业银行股份有限公司
,HNNXRCB,湖南宁乡农村商业银行股份有限公司
,AHQSRCC,安徽潜山农村商业银行
,LNWDRCC,陇南武都农村合作银行
,YXCCB,云南红塔银行
,AHTHMMXRCC,安徽太和农村商业银行
,ZJDQRCC,浙江德清农村商业银行
,ZJLSLDRCC,浙江丽水莲都农村商业银行
,PCXRQXRCC,蒲城县农村信用合作联社
,HSRCB,河北衡水农村商业银行
,ZJQTRCC,浙江青田农村商业银行
,SXGPRCC,山西高平农村商业银行
,HBJZRCU,河北冀州农村商业银行
,HBLPRCB,河北滦平农村商业银行
,AHGDRCC,安徽广德农村商业银行
,ZNXINIRCC,镇宁布依族苗族自治县农村信用合作联社
,GSHNRCB,甘肃会宁农村商业银行
,ZJHNRCC,浙江海宁农村商业银行
,HDXRCC,邯郸县农村信用合作联社
,XJCJRCC,新疆昌吉农村商业银行
,JLHDRCB,吉林桦甸农村商业银行股份有限公司
,AHHNRCC,安徽怀宁农村商业银行
,MHXRCC,闽侯县农村信用合作联社
,SDLYLSRCC,山东临沂兰山农村商业银行
,ZJZYRCC,浙江缙云农村商业银行
,PDXIJZRCC,平定县农村信用合作联社
,SXXYCCIRCC,陕西旬阳农村商业银行
,QHSRCC,琼海市农村信用合作联社
,ZJXJRCC,浙江仙居农村商业银行
,GSJNRCB,甘肃静宁农村商业银行股份有限公司
,HNLXRCB,湖南澧县农村商业银行股份有限公司
,HBHDRCB,河北邯郸农村商业银行股份有限公司
,ZXNCRCC,赵县农村信用联社
,JHXHRLRCC,剑河县农村信用合作联社
,SXYCIPMRCC,山西阳城农村商业银行
,LCXVVLRCC,龙川县农村信用合作联社
,SDDXRCC,山东单县农村商业银行
,JSGYRCB,江苏灌云农村商业银行
,WHBANK,乌海银行
,JSFXRCB,江苏丰县农村商业银行
,LNXCRCB,辽宁兴城农村商业银行股份有限公司
,AHXNRCC,安徽休宁农村商业银行
,JSXRCC,金沙县农村信用合作联社
,JSZJRCB,江苏镇江农村商业银行
,SHNRCB,江苏泗洪农村商业银行
,WXNCRCC,蔚县农村信用联社
,NBZHRCC,宁波镇海农村商业银行
,SXPYRCC,山西平遥农村商业银行
,GZRC,贵州黔西农村商业银行股份有限公司
,ZJCXRCC,浙江长兴农村商业银行
,LNXYRCB,辽宁岫岩农村商业银行
,JSBYRCB,江苏宝应农村商业银行
,AHJZRCC,安徽金寨农村商业银行
,SDLYRKCRCC,山东莱阳农村商业银行
,LSRCB,江苏涟水农村商业银行
,AHTHAVSRCC,安徽太湖农村商业银行
,ZJSXHXRCC,浙江绍兴恒信农村合作银行
,HBQJRCC,湖北潜江农村商业银行
,SDLKRCC,山东龙口农村商业银行
,FYZQRCC,阜阳颍泉农村商业银行
,SXYPSRCC,山西省原平市农村信用合作联社
,DYLSCB,东营莱商村镇银行
,HBZQRCB,河北枣强农村商业银行
,WXCYYRCC,魏县农村信用合作联社
,BJCCQRCC,宝鸡市陈仓区农村信用合作联社
,LYRCB,辽阳农村商业银行股份有限公司
,HBSZRCB,河北深州农村商业银行
,CHNCRCC,巢湖农村商业银行
,HLRCB,河北怀来农村商业银行
,AHLARCC,安徽来安农村商业银行
,ZJAJRCC,浙江安吉农村商业银行
,LDNSH,辽阳辽东农村商业银行
,XFXBNXRCC,息烽县农村信用合作联社
